pop.id,dame_mf,sire_mf,Rep,Rack,Unique.ID,seeds_per_pot,Num_germ,4/24/2025,4/25/2025,4/26/2025,4/28/2025,4/29/2025,4/30/2025,5/1/2025,5/2/2025,5/5/2025,5/6/2025,5/7/2025,5/8/2025,5/9/2025,5/10/2025,5/12/2025,5/13/2025,Notes
WL2,5,NA,48,1,1871,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5/2 removed non-STTO seedling
WL2,5,NA,49,1,1872,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2,5,NA,50,1,1873,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4/30 4 seedlings
WL2,6,NA,51,1,1874,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,6,NA,52,1,1875,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,6,NA,53,1,1876,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2,6,NA,54,1,1877,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2 removed non-STTO seedling
WL2,6,NA,55,1,1878,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,6,NA,56,1,1879,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/1 non-STTO seedling 5/2 removed non-STTO seedling from previous day
WL2,6,NA,57,1,1880,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,6,NA,58,1,1881,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,6,NA,59,1,1882,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2,6,NA,60,1,1883,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,61,1,1884,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,62,1,1885,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,63,1,1886,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,64,1,1887,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,65,1,1888,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,66,1,1889,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,67,1,1890,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
WL2,7,NA,68,1,1891,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,69,1,1892,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
WL2,7,NA,70,1,1893,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
WL2,8,NA,71,1,1894,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
WL2,8,NA,72,1,1895,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,8,NA,73,1,1896,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,8,NA,74,1,1897,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,8,NA,75,1,1898,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,8,NA,76,1,1899,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,8,NA,77,1,1900,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,8,NA,78,1,1901,3,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
WL2,8,NA,79,1,1902,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
WL2,8,NA,80,1,1903,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,9,NA,81,1,1904,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,9,NA,82,1,1905,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,9,NA,83,1,1906,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,9,NA,84,1,1907,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2 removed non-STTO seedling
WL2,9,NA,85,1,1908,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
WL2,9,NA,86,1,1909,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,9,NA,87,1,1910,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,9,NA,88,1,1911,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
WL2,9,NA,89,1,1912,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
WL2,9,NA,90,1,1913,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2,10,NA,91,1,1914,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
WL2,10,NA,92,1,1915,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
WL2,10,NA,93,1,1916,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
WL2,10,NA,94,1,1917,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,10,NA,95,1,1918,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,10,NA,96,1,1919,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,10,NA,97,1,1920,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2,10,NA,98,1,1921,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,1,2,1663,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,2,2,1664,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2 removed 1 non-STTO seedling
LV1,11,NA,3,2,1665,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,4,2,1666,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,5,2,1667,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
LV1,11,NA,6,2,1668,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,7,2,1669,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,8,2,1670,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,9,2,1671,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,10,2,1672,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,11,NA,11,2,1673,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,12,2,1674,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,13,2,1675,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
LV1,22,NA,14,2,1676,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,15,2,1677,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
